video_id,label,label_id,frames
gesture_000,Index,1,30
gesture_001,Index,1,30
gesture_002,Index,1,30
gesture_003,Index,1,30
gesture_004,Index,1,30
gesture_005,Index,1,30
gesture_006,Index,1,30
gesture_007,Index,1,30
gesture_008,Index,1,30
gesture_009,Index,1,30
gesture_010,Index,1,30
gesture_011,Index,1,30
gesture_012,Index,1,30
gesture_013,Index,1,30
gesture_014,Index,1,30
gesture_015,Index,1,30
gesture_016,Index,1,30
gesture_017,Index,1,30
gesture_018,Index,1,30
gesture_019,Index,1,30
gesture_020,Index,1,30
gesture_021,Index,1,30
gesture_022,Index,1,30
gesture_023,Index,1,30
gesture_024,Index,1,30
gesture_025,Index,1,30
gesture_026,Index,1,30
gesture_027,Index,1,30
gesture_028,Index,1,30
gesture_029,Index,1,30
gesture_000,L_shape,2,30
gesture_001,L_shape,2,30
gesture_002,L_shape,2,30
gesture_003,L_shape,2,30
gesture_004,L_shape,2,30
gesture_005,L_shape,2,30
gesture_006,L_shape,2,30
gesture_007,L_shape,2,30
gesture_008,L_shape,2,30
gesture_009,L_shape,2,30
gesture_010,L_shape,2,30
gesture_011,L_shape,2,30
gesture_012,L_shape,2,30
gesture_013,L_shape,2,30
gesture_014,L_shape,2,30
gesture_015,L_shape,2,30
gesture_016,L_shape,2,30
gesture_017,L_shape,2,30
gesture_018,L_shape,2,30
gesture_019,L_shape,2,30
gesture_020,L_shape,2,30
gesture_021,L_shape,2,30
gesture_022,L_shape,2,30
gesture_023,L_shape,2,30
gesture_024,L_shape,2,30
gesture_025,L_shape,2,30
gesture_026,L_shape,2,30
gesture_027,L_shape,2,30
gesture_028,L_shape,2,30
gesture_029,L_shape,2,30
gesture_000,Close_L_shape,3,30
gesture_001,Close_L_shape,3,30
gesture_002,Close_L_shape,3,30
gesture_003,Close_L_shape,3,30
gesture_004,Close_L_shape,3,30
gesture_005,Close_L_shape,3,30
gesture_006,Close_L_shape,3,30
gesture_007,Close_L_shape,3,30
gesture_008,Close_L_shape,3,30
gesture_009,Close_L_shape,3,30
gesture_010,Close_L_shape,3,30
gesture_011,Close_L_shape,3,30
gesture_012,Close_L_shape,3,30
gesture_013,Close_L_shape,3,30
gesture_014,Close_L_shape,3,30
gesture_015,Close_L_shape,3,30
gesture_016,Close_L_shape,3,30
gesture_017,Close_L_shape,3,30
gesture_018,Close_L_shape,3,30
gesture_019,Close_L_shape,3,30
gesture_020,Close_L_shape,3,30
gesture_021,Close_L_shape,3,30
gesture_022,Close_L_shape,3,30
gesture_023,Close_L_shape,3,30
gesture_024,Close_L_shape,3,30
gesture_025,Close_L_shape,3,30
gesture_026,Close_L_shape,3,30
gesture_027,Close_L_shape,3,30
gesture_028,Close_L_shape,3,30
gesture_029,Close_L_shape,3,30
gesture_000,Swipe_left,4,30
gesture_001,Swipe_left,4,30
gesture_002,Swipe_left,4,30
gesture_003,Swipe_left,4,30
gesture_004,Swipe_left,4,30
gesture_005,Swipe_left,4,30
gesture_006,Swipe_left,4,30
gesture_007,Swipe_left,4,30
gesture_008,Swipe_left,4,30
gesture_009,Swipe_left,4,30
gesture_010,Swipe_left,4,30
gesture_011,Swipe_left,4,30
gesture_012,Swipe_left,4,30
gesture_013,Swipe_left,4,30
gesture_014,Swipe_left,4,30
gesture_015,Swipe_left,4,30
gesture_016,Swipe_left,4,30
gesture_017,Swipe_left,4,30
gesture_018,Swipe_left,4,30
gesture_019,Swipe_left,4,30
gesture_020,Swipe_left,4,30
gesture_021,Swipe_left,4,30
gesture_022,Swipe_left,4,30
gesture_023,Swipe_left,4,30
gesture_024,Swipe_left,4,30
gesture_025,Swipe_left,4,30
gesture_026,Swipe_left,4,30
gesture_027,Swipe_left,4,30
gesture_028,Swipe_left,4,30
gesture_029,Swipe_left,4,30
gesture_000,Swipe_right,5,30
gesture_001,Swipe_right,5,30
gesture_002,Swipe_right,5,30
gesture_003,Swipe_right,5,30
gesture_004,Swipe_right,5,30
gesture_005,Swipe_right,5,30
gesture_006,Swipe_right,5,30
gesture_007,Swipe_right,5,30
gesture_008,Swipe_right,5,30
gesture_009,Swipe_right,5,30
gesture_010,Swipe_right,5,30
gesture_011,Swipe_right,5,30
gesture_012,Swipe_right,5,30
gesture_013,Swipe_right,5,30
gesture_014,Swipe_right,5,30
gesture_015,Swipe_right,5,30
gesture_016,Swipe_right,5,30
gesture_017,Swipe_right,5,30
gesture_018,Swipe_right,5,30
gesture_019,Swipe_right,5,30
gesture_020,Swipe_right,5,30
gesture_021,Swipe_right,5,30
gesture_022,Swipe_right,5,30
gesture_023,Swipe_right,5,30
gesture_024,Swipe_right,5,30
gesture_025,Swipe_right,5,30
gesture_026,Swipe_right,5,30
gesture_027,Swipe_right,5,30
gesture_028,Swipe_right,5,30
gesture_029,Swipe_right,5,30
gesture_2_000,Index,1,30
gesture_2_001,Index,1,30
gesture_2_002,Index,1,30
gesture_2_003,Index,1,30
gesture_2_004,Index,1,30
gesture_2_005,Index,1,30
